"file","language","code","blank","comment"
".\src\app\(boffmedia)\(herramientas)\herramientas\page.tsx","TypeScript","226","15","1"
".\src\tools\pmd-sky\DungeonData.ts","TypeScript","224","5","1"
".\src\app\battlesim\calc\_hooks\useDamageCalculation.ts","TypeScript","218","30","19"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentSelector.tsx","TypeScript","218","26","14"
".\src\app\wingull\pueblos\[pueblo]\_components\properties\PropertyCard.tsx","TypeScript","214","11","2"
".\src\app\smartrotom\taxi\page.tsx","TypeScript","212","35","1"
".\src\app\smartrotom\chatapp\_components\Message.tsx","TypeScript","211","19","2"
".\src\app\smartrotom\starbank\transacciones\page.tsx","TypeScript","210","25","2"
".\src\app\(boffmedia)\logros\page.tsx","TypeScript","209","8","0"
".\src\components\ui\primitives\command.tsx","TypeScript","206","37","0"
".\src\app\wingull\pueblos\[pueblo]\_components\map\MarkerDetailsPanel.tsx","TypeScript","205","15","2"
".\src\app\smartrotom\chatapp\_components\Contact.tsx","TypeScript","205","15","0"
".\src\app\smartrotom\admin\carteles\page.tsx","TypeScript","204","14","1"
".\src\app\wingull\invitacion\[id]\_components\InvitacionForm.tsx","TypeScript","203","7","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\SavedBuildsManager.tsx","TypeScript","201","14","2"
".\src\app\smartrotom\pc\components\box\PokemonSlot.tsx","TypeScript","200","19","16"
".\src\app\wingull\pueblos\page.tsx","TypeScript","198","18","1"
".\src\app\smartrotom\admin\page.tsx","TypeScript","198","18","3"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_hooks\useGameData.tsx","TypeScript","198","34","28"
".\src\app\smartrotom\bidkea\page.tsx","TypeScript","196","14","0"
".\src\app\smartrotom\admin\arceuspeak\_components\CharacterCreator.tsx","TypeScript","196","20","1"
".\src\app\battlesim\_components\BattlePreview.tsx","TypeScript","195","26","1"
".\src\hooks\useBaseSpinnerAnimation.ts","TypeScript","194","50","9"
".\src\app\showdown\page.tsx","TypeScript","194","36","6"
".\src\types\Pokemon.ts","TypeScript","193","29","0"
".\src\app\smartrotom\pc\components\details\PokemonDetails.tsx","TypeScript","193","18","8"
".\src\app\battlesim\dex\_hooks\useFilteredPokemon.ts","TypeScript","193","20","16"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\PlayerGalleryHeader.tsx","TypeScript","192","11","0"
".\src\components\smartrotom\calls\CallStatus.tsx","TypeScript","191","24","0"
".\src\components\ui\primitives\table.tsx","TypeScript","190","30","0"
".\src\features\authOptions.ts","TypeScript","190","15","8"
".\src\hooks\_main\useArcadeStreak.ts","TypeScript","190","18","5"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_utils\buildUtils.ts","TypeScript","190","31","48"
".\src\app\smartrotom\taxi\components\ListView.tsx","TypeScript","190","11","4"
".\src\components\smartrotom\RotomErrorSystem.ts","TypeScript","190","22","23"
".\src\app\smartrotom\starbank\_components\SideMenu.tsx","TypeScript","189","2","0"
".\src\app\auth\AuthForm.tsx","TypeScript","189","15","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\page.tsx","TypeScript","189","14","12"
".\src\services\api\boffmedia\usersService.ts","TypeScript","188","44","78"
".\src\app\smartrotom\starbank\graficas\_components\TransactionCharts.tsx","TypeScript","188","21","10"
".\src\components\smartrotom\ficusai\PokemonMovesCard.tsx","TypeScript","187","18","8"
".\src\components\smartrotom\RotomError.tsx","TypeScript","187","18","5"
".\src\app\smartrotom\starbank\calendario\page.tsx","TypeScript","187","32","14"
".\src\app\battlesim\calc\_components\SideConditions.tsx","TypeScript","186","17","0"
".\src\app\smartrotom\arcade\loot\_components\_main\LootBoxGame.tsx","TypeScript","185","22","7"
".\src\app\smartrotom\pc\components\box\DualBoxGrid.tsx","TypeScript","184","15","2"
".\src\app\(boffmedia)\(eventos)\clasificacion\page.tsx","TypeScript","184","22","0"
".\src\app\smartrotom\pc\hooks\usePokemonMovement.ts","TypeScript","182","39","30"
".\src\app\smartrotom\pc\components\box\FilterBox.tsx","TypeScript","182","27","29"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\StatsDisplay.tsx","TypeScript","182","15","1"
".\src\app\smartrotom\pc\components\details\PokemonCard.tsx","TypeScript","181","13","0"
".\src\app\smartrotom\pc\utils\filterUtils.ts","TypeScript","180","29","38"
".\src\app\battlesim\_components\BattleCanvas.tsx","TypeScript","180","19","0"
".\src\components\ui\primitives\navigation-menu.tsx","TypeScript","179","22","0"
".\src\components\ui\primitives\select.tsx","TypeScript","179","22","1"
".\src\components\ui\primitives\alert-dialog.tsx","TypeScript","179","28","0"
".\src\app\smartrotom\notas\_components\ShareDocumentDialog.tsx","TypeScript","179","19","3"
".\src\app\smartrotom\pc\components\box\BoxSelectionDialog.tsx","TypeScript","179","15","0"
".\src\services\api\smartrotom\pokemonService.ts","TypeScript","178","51","101"
".\src\lib\smartrotom\pokemonAnimations.ts","TypeScript","176","17","23"
